,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,genre
29,77,3.23E-01,0.606,1.83E+05,0.652,0.00E+00,0.201,-6.982,0.028,97.155,0.476,Rock
30,35,6.12E-04,0.292,3.02E+05,0.97,4.03E-01,0.308,-3.615,0.132,109.8,0.351,Jazz
31,68,1.54E-01,0.71,1.81E+05,0.47,0.00E+00,0.643,-9.33,0.142,80.027,0.581,Hip-Hop
32,64,7.95E-01,NaN,1.89E+05,0.354,1.07E-04,0.088,-11.112,0.031,73.007,NaN,Blues
33,62,NaN,0.56,2.21E+05,NaN,1.34E-01,0.299,-4.481,0.032,132.009,0.807,Rock
34,41,1.18E-02,0.854,NaN,0.493,NaN,NaN,-9.996,0.104,NaN,0.582,Jazz
35,53,7.46E-01,0.561,2.26E+05,0.891,0.00E+00,0.109,-4.771,0.305,91.316,0.69,Hip-Hop
36,55,5.60E-03,0.577,2.01E+05,0.934,0.00E+00,0.048,-3.999,0.128,137.003,0.54,Rock
37,69,1.30E-02,0.649,2.09E+05,0.888,2.23E-06,0.089,-4.807,0.029,100.975,0.553,Alternative
38,62,3.26E-01,0.515,2.87E+05,0.505,0.00E+00,0.102,-5.606,0.029,150.063,0.538,Hip-Hop
39,40,NaN,0.797,2.84E+05,NaN,1.90E-04,0.065,-12.692,0.038,114.746,0.881,Jazz
40,56,1.34E-03,0.684,2.16E+05,0.992,0.00E+00,0.878,-1.893,0.075,133.963,0.757,Rock
41,33,1.37E-01,0.472,2.20E+05,0.815,5.06E-05,0.261,-9.725,0.048,131.547,0.593,Blues
42,64,3.03E-01,0.399,4.45E+05,0.467,1.86E-02,0.124,-11.763,0.028,120.406,0.525,Rock
43,51,6.91E-02,0.557,-1.00E+00,0.61,1.17E-02,0.341,-9.899,0.111,155.966,0.128,Rock
44,68,NaN,0.195,2.69E+05,NaN,4.97E-01,0.069,-4.991,0.03,84.71,0.173,Rock
45,35,NaN,0.669,1.90E+05,NaN,4.86E-05,0.142,-6.898,0.153,127.994,0.439,Electronic
46,51,3.37E-01,0.563,2.12E+05,0.497,2.73E-03,0.162,-7.595,0.035,169.977,0.561,Rock
47,68,6.57E-05,0.532,-1.00E+00,0.889,7.06E-03,0.094,-5.474,0.054,93.994,0.508,Rock
48,51,2.87E-03,NaN,NaN,0.687,NaN,0.274,-7.792,0.023,100.06,NaN,Rock
49,48,1.74E-01,0.843,3.05E+05,0.668,6.66E-05,0.096,-7.236,0.037,125.028,0.378,Country
50,43,1.29E-02,0.616,2.07E+05,0.605,0.00E+00,0.112,-4.641,0.093,77.493,0.435,Alternative
51,63,3.09E-01,0.635,2.24E+05,0.562,2.01E-06,0.11,-8.92,0.168,181.014,0.288,Hip-Hop
52,58,NaN,0.48,2.25E+05,NaN,0.00E+00,0.193,-6.202,0.028,149.957,0.41,Rock
53,53,5.40E-03,0.556,2.07E+05,0.702,0.00E+00,0.218,-5.792,NaN,132.33,0.452,Rock
54,42,1.46E-05,NaN,2.31E+05,0.943,3.14E-02,0.222,-4.483,0.067,96.006,NaN,Classical
55,66,8.21E-04,0.389,1.90E+05,0.748,5.80E-04,0.358,-4.461,0.081,120.406,0.216,Rock
56,53,NaN,0.608,1.68E+05,NaN,3.52E-01,0.166,-17.109,0.026,84.78,0.401,Rock
57,28,5.31E-03,0.531,2.50E+05,0.964,2.73E-02,0.083,NaN,0.533,150.237,0.198,Electronic
58,70,1.80E-04,0.546,2.07E+05,0.959,1.44E-03,0.058,-4.664,0.082,127.831,0.416,Rock
59,67,6.09E-02,0.648,NaN,0.75,NaN,NaN,-3.248,0.034,NaN,0.556,Rock
60,37,3.33E-01,0.793,NaN,0.479,NaN,0.028,-10.759,0.082,95.99,0.645,Electronic
61,32,5.80E-04,0.664,-1.00E+00,0.83,1.13E-01,0.339,-5.021,0.046,94.812,0.906,Electronic
62,25,9.73E-01,0.071,2.57E+05,0.017,3.50E-01,0.073,-26.569,0.05,77.78,0.031,Classical
63,66,NaN,0.579,NaN,NaN,NaN,0.172,-4.872,NaN,170.593,0.885,Rock
64,54,1.81E-01,0.799,2.53E+05,0.665,1.36E-01,0.125,-6.31,NaN,89.498,0.783,Rock
65,49,9.46E-02,0.419,2.81E+05,0.748,1.74E-04,0.092,-8.142,0.052,85.02,0.417,Rock
66,15,NaN,NaN,1.78E+05,NaN,9.41E-01,0.125,-12.529,0.042,62.838,NaN,Anime
67,45,7.84E-01,0.56,2.15E+05,0.204,0.00E+00,0.109,-15.395,0.045,120.138,0.282,Alternative
68,21,NaN,NaN,-1.00E+00,NaN,8.23E-02,0.605,NaN,0.056,75.319,NaN,Classical
69,56,NaN,0.614,3.24E+05,NaN,5.18E-01,0.108,-8.317,0.032,126.477,0.717,Rock
70,66,1.32E-01,0.615,2.51E+05,0.582,3.81E-05,0.119,-10.323,0.04,82.532,0.789,Rock
71,48,NaN,0.507,1.83E+05,NaN,0.00E+00,0.147,-4.763,0.118,165.136,0.436,Rock
72,57,2.54E-03,0.306,2.33E+05,0.985,6.26E-01,0.13,-6.687,0.082,133.963,0.255,Rock
73,31,5.69E-01,0.449,2.50E+05,0.871,1.93E-06,0.401,-2.365,0.071,204.048,0.786,Anime
74,78,3.71E-01,0.558,-1.00E+00,0.559,7.49E-06,0.109,-9.222,0.096,78.558,0.62,Hip-Hop
75,33,9.38E-03,0.473,2.14E+05,0.802,1.41E-03,0.392,-4.966,0.032,120.406,0.661,Rock
76,42,2.05E-01,0.496,1.77E+05,0.895,0.00E+00,0.063,-4.027,0.147,120.406,0.654,Country
77,62,1.75E-02,0.409,2.21E+05,0.761,0.00E+00,0.114,-4.514,0.031,155.901,0.271,Rock
78,16,2.86E-04,NaN,9.26E+04,0.752,7.85E-01,0.152,-5.76,0.041,95.018,NaN,Anime
79,58,7.30E-03,0.491,2.49E+05,0.738,0.00E+00,0.295,-6.73,0.057,162.003,0.524,Rock
80,30,2.19E-03,NaN,1.29E+05,0.92,8.14E-01,0.16,-3.098,0.049,82.87,NaN,Blues
81,54,2.29E-03,0.547,2.26E+05,0.932,0.00E+00,0.335,-5.237,0.097,134.981,0.513,Rock
82,50,8.75E-01,0.653,5.24E+05,0.368,3.05E-03,0.097,-11.567,0.044,117.161,0.249,Jazz
83,55,3.49E-01,0.446,2.46E+05,0.519,5.99E-03,0.249,NaN,0.027,151.267,0.383,Country
84,44,NaN,0.425,-1.00E+00,NaN,1.24E-02,0.129,-9.072,0.031,73.69,0.311,Country
85,51,4.97E-01,0.74,2.20E+05,0.816,0.00E+00,0.195,-4.764,0.076,91.91,0.963,Rock
86,53,7.44E-01,0.366,4.98E+05,0.357,1.97E-05,0.11,-6.227,0.034,118.901,0.117,Rock
87,25,8.73E-03,0.465,2.43E+05,0.981,0.00E+00,0.354,-2.366,0.203,128.093,0.534,Anime
88,55,NaN,NaN,-1.00E+00,NaN,7.93E-05,0.12,-5.855,0.283,207.852,NaN,Hip-Hop
89,54,1.61E-02,0.739,2.38E+05,0.539,0.00E+00,0.235,-9.735,0.337,85.082,0.835,Hip-Hop
90,61,3.14E-01,0.687,2.04E+05,0.648,1.37E-06,0.289,NaN,0.027,121.341,0.6,Rock
91,43,6.10E-01,NaN,-1.00E+00,0.225,5.77E-02,0.06,-16.413,0.05,120.406,NaN,Jazz
92,25,NaN,0.584,2.54E+05,NaN,8.57E-02,0.581,-4.09,0.164,127.984,0.053,Electronic
93,55,1.78E-01,0.687,2.42E+05,0.651,8.79E-03,0.149,-6.696,0.025,119.937,0.514,Rock
94,52,NaN,0.42,3.52E+05,NaN,4.23E-04,0.096,-9.828,0.034,147.949,0.378,Rock
95,12,9.91E-01,0.254,1.07E+05,0.203,8.86E-01,0.313,-19.116,0.04,109.666,0.172,Classical
96,62,8.55E-02,0.686,1.54E+05,0.67,0.00E+00,0.12,-7.626,0.225,173.915,0.636,Rap
97,62,4.10E-02,NaN,2.66E+05,0.659,0.00E+00,0.059,-5.617,0.038,94.853,NaN,Rock
98,55,2.71E-01,0.421,2.63E+05,0.633,0.00E+00,0.113,-6.837,0.043,155.715,0.161,Rock
99,70,7.35E-03,0.756,1.71E+05,0.814,0.00E+00,0.143,-5.398,0.042,146.99,0.709,Rap
100,28,4.22E-01,0.585,2.32E+05,0.726,2.35E-02,0.332,-12.614,0.055,126.105,0.884,Blues
101,52,NaN,NaN,1.81E+05,NaN,0.00E+00,0.156,-5.81,0.045,116.03,NaN,Rock
102,56,3.92E-01,0.482,3.24E+05,0.55,2.08E-02,0.111,-4.485,0.027,114.435,0.353,Rock
103,60,6.88E-02,0.626,-1.00E+00,0.527,2.14E-04,0.372,-9.371,0.109,151.657,0.227,Alternative
104,NaN,5.13E-02,0.395,NaN,0.896,NaN,NaN,-4.262,0.035,NaN,0.35,Rock
105,71,5.38E-01,0.404,1.48E+05,0.43,0.00E+00,0.08,-12.327,0.224,180.061,0.641,Rock
106,64,2.63E-02,0.54,1.88E+05,0.78,7.12E-06,0.35,-5.872,0.042,144.011,0.514,Rock
107,66,3.18E-01,0.695,NaN,0.731,NaN,0.143,-2.15,0.034,122.522,0.497,Rock
108,54,NaN,0.565,NaN,NaN,NaN,NaN,-10.793,0.038,NaN,0.591,Rock
109,35,1.53E-02,0.55,NaN,0.734,NaN,NaN,-5.72,0.031,NaN,0.592,Country
110,50,1.99E-03,0.612,2.06E+05,0.794,0.00E+00,0.078,-5.857,0.038,130.025,0.482,Rock
111,64,2.63E-01,0.443,-1.00E+00,0.727,1.41E-04,0.169,-7.951,0.145,160.82,0.566,Blues
112,68,NaN,0.497,1.88E+05,NaN,1.98E-05,0.274,-4.308,0.045,148.893,0.385,Rock
113,22,9.78E-02,0.189,1.39E+05,0.812,8.75E-01,0.181,-10.686,0.044,123.597,0.276,Electronic
114,70,2.01E-01,NaN,2.26E+05,0.779,0.00E+00,0.117,-5.084,0.287,83.332,NaN,Hip-Hop
115,72,5.64E-01,0.492,1.64E+05,0.712,9.10E-05,0.357,-7.278,0.691,137.453,0.23,Rap
116,52,5.90E-02,0.625,1.58E+05,0.699,0.00E+00,0.231,-10.665,0.478,147.956,0.381,Rap
117,31,NaN,0.299,-1.00E+00,NaN,9.39E-01,0.429,-17.152,0.039,136.472,0.127,Classical
118,50,1.10E-02,NaN,1.74E+05,0.5,1.20E-02,0.287,-18.39,0.044,105.357,NaN,Country
119,0,9.28E-01,0.382,5.88E+05,0.161,5.59E-01,0.12,-19.09,0.053,93.319,0.266,Classical
120,56,9.55E-01,0.465,2.85E+05,0.242,2.23E-02,0.126,-10.46,0.03,102.812,0.315,Rock
121,52,NaN,0.433,2.55E+05,NaN,2.93E-01,0.159,-6.702,0.034,137.268,0.184,Alternative
122,57,4.24E-02,0.629,2.44E+05,0.69,0.00E+00,0.363,-4.894,0.036,102.036,0.307,Rock
123,55,3.94E-03,0.507,2.08E+05,0.663,1.89E-04,0.13,-9.163,0.139,94.884,0.327,Rock
124,66,2.19E-01,0.701,1.44E+05,0.261,0.00E+00,0.082,-19.846,0.094,97.042,0.89,Alternative
125,43,9.89E-01,0.198,-1.00E+00,0.038,9.69E-01,0.17,-29.885,0.044,136.392,0.127,Classical
126,11,9.29E-01,0.563,1.43E+05,0.252,6.11E-05,0.126,-10.691,NaN,111.721,0.079,Anime
127,60,2.70E-01,0.546,NaN,0.838,NaN,NaN,-3.51,0.032,NaN,0.719,Rock
128,54,8.64E-01,0.736,1.82E+05,0.297,1.49E-05,0.061,-9.648,0.035,120.406,0.186,Rock
129,50,2.87E-03,0.517,2.60E+05,0.561,0.00E+00,0.556,NaN,0.035,139.959,0.149,Alternative
130,53,NaN,0.138,2.58E+05,NaN,7.86E-01,0.089,-7.976,0.044,170.342,0.36,Rock
131,47,5.20E-01,0.561,1.85E+05,0.715,0.00E+00,0.119,-6.344,0.042,153.956,0.453,Rock
132,61,3.51E-01,0.541,2.00E+05,0.483,4.00E-01,0.111,-10.675,0.051,80.73,0.641,Rock
133,57,3.12E-01,0.605,-1.00E+00,0.605,5.11E-03,0.06,-7.722,0.084,147.736,0.418,Rock
134,74,NaN,0.655,-1.00E+00,NaN,0.00E+00,0.409,-3.451,0.059,91.035,0.165,Rap
135,65,4.31E-01,0.566,2.34E+05,0.766,0.00E+00,0.101,-5.036,0.04,120.406,0.547,Rock
136,36,8.65E-01,0.124,1.80E+05,0.309,8.00E-01,0.103,NaN,0.035,63.827,0.08,Classical
137,63,5.91E-06,0.382,2.98E+05,0.867,5.81E-01,0.196,-7.426,0.04,87.309,0.453,Rock
138,51,NaN,0.606,1.97E+05,NaN,7.14E-05,0.111,-5.726,0.036,132.004,0.49,Country
139,57,7.35E-01,0.717,1.46E+05,0.373,0.00E+00,0.303,NaN,0.061,138.513,0.538,Rock
140,65,6.31E-04,0.246,2.13E+05,0.768,3.01E-01,0.102,-7.48,0.039,169.873,0.35,NaN
141,38,6.37E-01,0.752,5.54E+05,0.791,7.51E-01,0.1,-12.4,0.055,116.004,0.11,Electronic
142,52,2.71E-02,0.691,2.22E+05,0.754,7.19E-02,0.881,-8.136,0.037,144.085,0.924,Rock
143,55,2.26E-02,NaN,2.25E+05,0.55,2.05E-01,0.043,-7.427,0.026,81.814,NaN,Rock
144,50,7.49E-02,0.791,3.08E+05,0.535,1.96E-06,0.156,-13.261,0.035,127.488,0.963,Blues
145,44,2.63E-01,0.841,2.94E+05,0.835,0.00E+00,0.108,-6.191,0.308,133.024,0.702,Hip-Hop
146,54,5.23E-02,0.694,2.15E+05,0.951,3.38E-03,0.293,-5.4,NaN,120.014,0.74,Rock
147,47,2.30E-01,0.622,1.96E+05,0.448,0.00E+00,0.102,-10.709,0.026,120.406,0.553,Alternative
148,41,8.73E-02,0.364,1.88E+05,0.845,1.40E-06,0.084,-4.115,NaN,130.022,0.428,Blues
149,41,NaN,NaN,2.24E+05,NaN,0.00E+00,0.111,-5.159,0.029,82.993,NaN,Country
150,36,9.00E-01,0.678,1.43E+05,0.327,1.58E-01,0.111,-9.072,0.029,113.803,0.557,Anime
151,66,NaN,0.733,2.27E+05,NaN,0.00E+00,0.151,-6.87,0.044,138.034,0.259,Rap
152,30,1.45E-02,0.519,2.35E+05,0.576,3.92E-01,0.201,-7.705,0.029,139.981,0.116,Electronic
153,66,1.06E-01,0.66,2.00E+05,0.799,0.00E+00,0.154,-4.644,0.1,125.966,0.475,Rock
154,76,NaN,0.657,2.67E+05,NaN,0.00E+00,0.254,-4.938,0.078,93.985,0.726,Hip-Hop
155,64,6.64E-01,0.403,2.13E+05,0.45,7.57E-06,0.095,-6.314,NaN,147.694,0.116,Rock
156,52,1.75E-02,0.672,5.05E+05,0.792,1.19E-02,0.313,-6.436,0.033,146.907,0.649,Rock
157,42,6.66E-01,0.656,1.87E+05,0.707,0.00E+00,0.17,-3.841,0.029,126.057,0.473,Country
158,60,1.03E-01,0.401,6.00E+04,0.532,0.00E+00,0.478,-11.554,0.508,84.777,0.413,Rap
159,62,1.98E-02,0.6,2.78E+05,0.912,6.52E-05,0.088,-3.449,0.072,110.339,0.506,Rock
160,70,4.04E-01,0.629,-1.00E+00,0.601,0.00E+00,0.058,-7.508,0.309,199.921,0.612,Hip-Hop
161,66,9.41E-03,NaN,2.08E+05,0.837,0.00E+00,0.372,-5.608,0.045,140.495,NaN,Rock
162,69,1.97E-03,0.352,-1.00E+00,0.912,0.00E+00,0.193,-4.253,0.072,166.795,0.351,Rock
163,66,1.73E-01,0.68,1.91E+05,0.738,3.60E-04,0.37,-4.881,NaN,105.015,0.675,Rock
164,37,9.88E-01,0.668,NaN,0.243,NaN,NaN,-11.664,0.054,NaN,0.668,Jazz
165,42,6.33E-01,0.606,2.18E+05,0.342,6.84E-05,0.297,-13.197,0.03,78.019,0.432,Jazz
166,48,8.06E-03,0.52,2.59E+05,0.963,1.51E-04,0.175,-2.662,0.05,155.934,0.567,Anime
167,54,5.45E-05,0.483,2.50E+05,0.962,9.61E-06,0.273,-2.93,0.107,88.003,0.459,Alternative
168,50,2.25E-04,NaN,2.81E+05,0.905,1.99E-03,0.072,-6.514,0.049,126.793,NaN,Electronic
169,49,NaN,0.486,-1.00E+00,NaN,2.98E-04,0.674,-3.611,0.064,117.26,0.142,Hip-Hop
170,61,5.87E-05,0.248,3.11E+05,0.988,8.40E-01,0.323,-3.74,0.144,120.406,0.149,Rock
171,58,NaN,0.518,3.03E+05,NaN,7.63E-06,0.109,-7.106,NaN,98.022,0.161,Rock
172,51,NaN,0.498,2.27E+05,NaN,0.00E+00,0.169,-5.34,0.033,160.043,0.695,Rock
173,68,2.21E-01,0.588,2.78E+05,0.301,2.36E-03,0.128,-14.979,NaN,112.458,0.19,Rock
174,47,1.11E-01,0.69,2.68E+05,0.74,8.07E-01,0.09,-5.509,0.074,144.935,0.363,Electronic
175,38,3.06E-02,0.443,2.51E+05,0.756,1.21E-03,0.33,-9.216,0.044,83.797,0.346,Blues
176,55,1.22E-01,0.5,1.74E+05,0.854,0.00E+00,0.079,-5.151,0.095,94.96,0.404,Rock
177,52,2.97E-03,0.399,NaN,0.925,NaN,NaN,-5.45,0.038,NaN,0.145,Electronic
178,27,1.10E-03,0.327,3.08E+05,0.972,3.48E-03,0.082,-3.489,0.469,120.406,0.103,Anime
179,30,1.12E-01,0.394,3.26E+05,0.348,2.57E-02,0.294,-10.197,0.036,127.543,0.538,Blues
180,56,NaN,0.517,1.87E+05,NaN,0.00E+00,0.166,-6.152,0.081,150.134,0.371,Rock
181,67,2.13E-02,NaN,2.45E+05,0.614,1.65E-01,0.31,-7.528,0.043,119.837,NaN,Rock
182,68,1.29E-01,NaN,2.10E+05,0.65,0.00E+00,0.113,-5.981,0.038,117.992,NaN,Rock
183,53,3.55E-02,0.327,2.08E+05,0.948,5.15E-01,0.126,NaN,0.071,177.328,0.469,Rock
184,58,NaN,0.839,-1.00E+00,NaN,3.76E-04,0.116,-4.181,0.116,115.005,0.6,Hip-Hop
185,62,1.98E-04,0.39,1.77E+05,0.91,0.00E+00,0.156,-3.268,0.133,162.253,0.644,Rock
186,55,1.26E-01,0.779,2.17E+05,0.902,0.00E+00,0.242,-2.975,0.169,95.321,0.82,Rap
187,62,4.72E-01,0.757,2.01E+05,0.614,0.00E+00,0.161,NaN,NaN,90.523,0.616,Alternative
188,29,NaN,0.847,1.84E+05,NaN,3.52E-02,0.115,-15.243,NaN,126.902,0.741,Blues
189,72,NaN,0.562,3.75E+05,NaN,0.00E+00,0.17,-5.065,0.369,159.517,0.231,Hip-Hop
190,33,NaN,0.615,2.65E+05,NaN,1.28E-02,0.127,-7.503,0.028,155.972,0.383,Jazz
191,72,4.11E-01,0.673,2.15E+05,0.395,5.46E-03,0.122,NaN,0.123,170.074,0.137,Rap
192,56,8.32E-02,NaN,2.69E+05,0.835,9.82E-03,0.077,-6.553,0.06,144.641,NaN,Rock
193,40,3.03E-04,0.711,2.84E+05,0.954,8.34E-01,0.07,-7.914,0.071,124.982,0.897,Electronic
194,30,NaN,0.442,3.98E+05,NaN,1.49E-01,0.129,-10.696,0.062,97.643,0.51,Blues
195,60,3.16E-01,0.68,-1.00E+00,0.701,4.72E-06,0.111,-10.36,0.036,108.287,0.933,Rock
196,58,9.10E-03,0.668,3.00E+05,0.803,1.82E-03,0.571,-11.282,0.046,115.386,0.423,Rock
197,48,9.51E-01,0.498,1.94E+05,0.097,0.00E+00,0.105,-16.482,0.043,144.077,0.39,Country
198,53,NaN,0.673,2.41E+05,NaN,0.00E+00,0.2,-6.464,0.064,95.997,0.379,Rock
199,68,NaN,0.487,1.61E+05,NaN,1.04E-03,0.405,-4.736,0.089,137.939,0.563,Rock
200,59,3.86E-04,0.542,1.84E+05,0.939,3.85E-06,0.093,-4.166,0.082,129.983,0.256,Rock
201,55,4.59E-01,0.657,2.11E+05,0.69,0.00E+00,0.122,-6.866,0.03,112.014,0.573,Rock
202,28,NaN,0.455,2.26E+05,NaN,6.14E-04,0.389,-2.365,0.109,131.814,0.383,Anime
203,55,NaN,0.551,2.95E+05,NaN,9.84E-06,0.276,-3.446,0.161,147.001,0.436,Rap
204,16,8.68E-01,0.577,3.44E+05,0.491,9.31E-01,0.084,-7.412,0.063,124.557,0.389,Anime
205,53,7.44E-01,0.257,2.34E+05,0.452,9.96E-02,0.38,-12.365,0.035,120.406,0.271,Rock
206,72,1.98E-01,NaN,2.06E+05,0.498,0.00E+00,0.132,-6.901,0.028,116.271,NaN,Rock
207,46,2.17E-02,0.57,2.33E+05,0.6,0.00E+00,0.096,-11.618,0.039,143.861,0.611,Country
208,56,1.69E-01,NaN,3.29E+05,0.662,0.00E+00,0.345,NaN,0.045,94.531,NaN,Rap
209,53,3.51E-03,0.422,2.05E+05,0.953,1.03E-06,0.575,-5.927,0.123,152.009,0.2,Rock
210,55,NaN,0.602,2.48E+05,NaN,2.51E-03,0.28,-17.899,NaN,101.941,0.505,Rock
211,57,NaN,0.407,3.07E+05,NaN,9.35E-01,0.096,-11.733,0.035,100.01,0.072,Rock
212,53,3.73E-01,NaN,2.14E+05,0.788,0.00E+00,0.108,-7.029,0.053,120.406,NaN,Rock
213,41,NaN,0.358,2.55E+05,NaN,1.34E-06,0.087,-8.217,0.035,120.406,0.487,Jazz
214,68,6.06E-05,0.451,1.94E+05,0.815,0.00E+00,0.27,-5.55,NaN,147.974,0.618,Rap
215,50,3.66E-01,0.542,-1.00E+00,0.566,5.14E-06,0.098,-5.99,0.056,153.479,0.408,Country
216,65,1.35E-01,0.756,2.47E+05,0.415,0.00E+00,0.144,-14.429,0.056,96.99,0.68,Rock
217,13,NaN,NaN,2.30E+05,NaN,5.59E-04,0.132,-3.988,0.033,120.406,NaN,Anime
218,73,NaN,0.431,-1.00E+00,NaN,9.60E-03,0.502,-4.243,0.062,147.108,0.534,Rock
219,46,5.34E-04,0.374,4.78E+05,0.926,1.17E-02,0.341,-4.947,0.083,106.315,0.619,Jazz
220,39,1.52E-01,0.572,2.35E+05,0.826,0.00E+00,0.113,-5.167,0.132,167.988,0.408,Country
221,34,5.66E-01,0.57,4.68E+05,0.291,2.83E-02,0.045,-13.953,0.043,106.247,0.423,Jazz
222,51,3.16E-01,0.474,2.34E+05,0.508,0.00E+00,0.166,-6.845,0.024,77.31,0.358,Blues
223,71,2.90E-03,0.736,-1.00E+00,0.711,2.75E-04,0.095,-5.503,0.035,112.309,0.719,Rock
224,62,1.29E-02,0.595,3.42E+05,0.804,1.97E-05,0.299,-7.911,0.033,89.846,0.586,Rock
225,54,NaN,0.666,2.21E+05,NaN,2.33E-04,0.116,-8.369,0.036,96.982,0.438,Rock
226,42,2.92E-01,0.594,NaN,0.718,NaN,NaN,-5.755,0.029,NaN,0.549,Country
227,56,NaN,0.752,2.29E+05,NaN,0.00E+00,0.107,-8.156,0.086,120.406,0.386,Rap
228,58,NaN,0.808,NaN,NaN,NaN,NaN,-8.435,0.252,NaN,0.616,Alternative
229,51,4.24E-02,0.512,NaN,0.552,NaN,0.111,-9.499,0.035,143.977,0.21,Rock
230,64,3.50E-01,0.764,1.75E+05,0.646,0.00E+00,0.082,-9.349,0.03,116.115,0.886,Rock
231,26,3.87E-05,0.476,1.70E+05,0.791,8.38E-01,0.165,-8.086,0.058,120.406,0.403,Blues
232,58,1.92E-03,0.49,2.05E+05,0.699,6.45E-06,0.111,-5.55,0.029,85.955,0.364,Rock
233,30,NaN,NaN,1.24E+05,NaN,8.16E-04,0.085,-11.499,0.029,74.864,NaN,Jazz
234,39,8.72E-01,NaN,5.00E+05,0.27,7.46E-01,0.176,-13.276,0.042,71.806,NaN,Jazz
235,63,NaN,0.65,2.26E+05,NaN,3.51E-04,0.122,-3.677,0.031,121.896,0.409,Rock
236,23,3.77E-01,NaN,1.81E+05,0.676,2.21E-01,0.741,-7.273,0.04,94.518,NaN,Blues
237,28,8.59E-01,0.574,1.85E+05,0.284,0.00E+00,0.114,-9.087,0.036,68.07,0.672,Blues
238,64,5.17E-01,NaN,-1.00E+00,0.596,1.59E-03,0.358,NaN,0.246,94.968,NaN,Hip-Hop
239,62,NaN,0.485,1.85E+05,NaN,0.00E+00,0.098,-3.807,0.029,151.948,0.613,Country
240,56,5.63E-02,0.892,-1.00E+00,0.538,0.00E+00,0.303,-7.043,0.304,130.129,0.325,Hip-Hop
241,30,6.18E-02,0.389,1.60E+05,0.829,1.25E-03,0.168,-5.58,0.15,122.051,0.435,Blues
